Record Date,Debt Outstanding Amount,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2023-09-30,33167334044723.16,1,2023,4,2023,3,09,30
2022-09-30,30928911613306.73,1,2022,4,2022,3,09,30
2021-09-30,28428918570048.68,1,2021,4,2021,3,09,30
2020-09-30,26945391194615.15,1,2020,4,2020,3,09,30
2019-09-30,22719401753433.78,1,2019,4,2019,3,09,30
2018-09-30,21516058183180.23,1,2018,4,2018,3,09,30
2017-09-30,20244900016053.51,1,2017,4,2017,3,09,30
2016-09-30,19573444713936.79,1,2016,4,2016,3,09,30
2015-09-30,18150617666484.33,1,2015,4,2015,3,09,30
2014-09-30,17824071380733.82,1,2014,4,2014,3,09,30
2013-09-30,16738183526697.32,1,2013,4,2013,3,09,30
2012-09-30,16066241407385.89,1,2012,4,2012,3,09,30
2011-09-30,14790340328557.15,1,2011,4,2011,3,09,30
2010-09-30,13561623030891.79,1,2010,4,2010,3,09,30
2009-09-30,11909829003511.75,1,2009,4,2009,3,09,30
2008-09-30,10024724896912.49,1,2008,4,2008,3,09,30
2007-09-30,9007653372262.48,1,2007,4,2007,3,09,30
2006-09-30,8506973899215.23,1,2006,4,2006,3,09,30
2005-09-30,7932709661723.50,1,2005,4,2005,3,09,30
2004-09-30,7379052696330.32,1,2004,4,2004,3,09,30
2003-09-30,6783231062743.62,1,2003,4,2003,3,09,30
2002-09-30,6228235965597.16,1,2002,4,2002,3,09,30
2001-09-30,5807463412200.06,1,2001,4,2001,3,09,30
2000-09-30,5674178209886.86,1,2000,4,2000,3,09,30
1999-09-30,5656270901615.43,1,1999,4,1999,3,09,30
1998-09-30,5526193008897.62,1,1998,4,1998,3,09,30
1997-09-30,5413146011397.34,1,1997,4,1997,3,09,30
1996-09-30,5224810939135.73,1,1996,4,1996,3,09,30
1995-09-29,4973982900709.39,1,1995,4,1995,3,09,29
1994-09-30,4692749910013.32,1,1994,4,1994,3,09,30
1993-09-30,4411488883139.38,1,1993,4,1993,3,09,30
1992-09-30,4064620655521.66,1,1992,4,1992,3,09,30
1991-09-30,3665303351697.03,1,1991,4,1991,3,09,30
1990-09-28,3233313451777.25,1,1990,4,1990,3,09,28
1989-09-29,2857430960187.32,1,1989,4,1989,3,09,29
1988-09-30,2602337712041.16,1,1988,4,1988,3,09,30
1987-09-30,2350276890953.00,1,1987,4,1987,3,09,30
1986-09-30,2125302616658.42,1,1986,4,1986,3,09,30
1985-09-30,1823103000000.00,1,1985,4,1985,3,09,30
1984-09-30,1572266000000.00,1,1984,4,1984,3,09,30
1983-09-30,1377210000000.00,1,1983,4,1983,3,09,30
1982-09-30,1142034000000.00,1,1982,4,1982,3,09,30
1981-09-30,997855000000.00,1,1981,4,1981,3,09,30
1980-09-30,907701000000.00,1,1980,4,1980,3,09,30
